name,short_name
Bachelor of Technology,BTech
Master of Technology,MTech
Bachelor of Science,BSc
Bachelor of Commerce,BComm
Bachelor of Arts,BA
Bachelor of Education,BEd
Master of Science,MSc
Master of Commerce,MCom
Master of Arts,MA
Master of Business Administration,MBA
Bachelor of Business Administration,BBA
Master of Computer Applications,MCA
Bachelor of Pharmacy,BPharm
Master of Pharmacy,MPharm
Bachelor of Medicine, Bachelor of Surgery,MBBS
Bachelor of Dental Surgery,BDS
Doctor of Medicine,MD
Doctor of Philosophy,PhD
Postdoctoral Research,PostDoc
Kindergarten to 12th Grade,K12
Higher Secondary Education,Intermediate
Diploma in Engineering or Technology,Polytechnic
Industrial Training Institute,ITI
