state_code,State,district_code,name,Town Code,Town Name,,,,,,,,,,,,,,,,,,,,
35,A & N Islands,640,South Andaman,804041,Port Blair,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,803009,Anantapur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,803010,Dharmavaram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,594760,Gooty,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,803007,Guntakal,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,803012,Hindupur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,803011,Kadiri,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,594956,Kalyandurg,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,595357,Madakasira,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,594864,Pamidi,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,595448,Puttaparthi,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,803006,Rayadurg,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,553,Anantapur,803008,Tadpatri,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803019,Chittoor,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803015,Madanapalle,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803016,Nagari,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803020,Palamaner,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803018,Punganur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803017,Puttur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803013,Srikalahasti,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,554,Chittoor,803014,Tirupati,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802958,Amalapuram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,587337,Gollaprolu,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802955,Kakinada,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802956,Mandapeta,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,587758,Mummidivaram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802951,Peddapuram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802954,Pithapuram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802952,Rajahmundry,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802957,Ramachandrapuram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802953,Samalkot,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,802950,Tuni,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,545,East Godavari,587062,Yeleswaram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,580425,Amaravati Capital City,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802984,Bapatla,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802980,Chilakaluripet,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802981,Guntur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802973,Macherla,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802976,Mangalagiri,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802979,Narasaraopet,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802974,Piduguralla,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802983,Ponnur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802985,Repalle,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802977,Sattenapalle,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802975,Tadepalle,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802982,Tenali,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,548,Guntur,802978,Vinukonda,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,802970,Gudivada,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,802967,Jaggaiahpet,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,802972,Machilipatnam,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,588883,Nandigama,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,802968,Nuzvid,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,802971,Pedana,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,588968,Tiruvuru,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,802969,Vijayawada,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,547,Krishna,589560,Vuyyuru,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,803003,Adoni,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,594542,Allagadda,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,593982,Atmakur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,803005,Dhone,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,593877,Gudur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,802992,Gudur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,803002,Kurnool,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,593932,Nandikoturu,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,803004,Nandyal,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,552,Kurnool,803001,Yemmiganur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,590769,Addanki,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,591081,Chimakurthy,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,802987,Chirala,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,591202,Giddaluru,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,802989,Kandukur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,591289,Kanigiri,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,802986,Markapur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,549,Prakasam,802988,Ongole,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,550,Nellore,900038,Atmakur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,550,Nellore,802990,Kavali,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,550,Nellore,579552,Naidupeta,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,550,Nellore,802991,Nellore,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,550,Nellore,592766,Sulluru,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,550,Nellore,802993,Venkatagiri,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,542,Srikakulam,802941,Amadalavalasa,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,542,Srikakulam,802939,Ichchapuram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,542,Srikakulam,580777,Palakonda,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,542,Srikakulam,802938,Palasa Kasibugga,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,542,Srikakulam,802940,Rajam,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,542,Srikakulam,802942,Srikakulam,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,544,Visakhapatnam,802947,GVMC,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,544,Visakhapatnam,585801,Narsipatnam,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,544,Visakhapatnam,586424,Yelamanchili,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,543,Vizianagaram,802944,Bobbili,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,543,Vizianagaram,583164,Nellimarla,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,543,Vizianagaram,802943,Parvathipuram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,543,Vizianagaram,802945,Salur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,543,Vizianagaram,802946,Vizianagaram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802964,Bhimavaram,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802962,Eluru,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,588177,Jangareddigudem,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802959,Kovvur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802965,Narasapur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802960,Nidadavole,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802966,Palacole,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802961,Tadepalligudem,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,546,West Godavari,802963,Tanuku,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,802994,Badvel (M),,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,802994,Jammalamadugu,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,802998,Kadapa,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,592933,Mydukur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,802995,Proddatur,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,802997,Pulivendla,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,803000,Rajampet,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,802999,Rayachoti,,,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh,551,Kadapa,593289,Yerraguntla,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,260,Anjaw,801449,Hawai,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,253,Changlang,801437,Changlang,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,253,Changlang,801438,Jairampur,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,253,Changlang,801439,Miao,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,257,Dibang Valley,801445,Anini,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,247,East Kameng,801427,Seppa,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,251,East Siang,801434,Boleng,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,251,East Siang,263801,Pangin,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,251,East Siang,801435,Pasighat,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,256,Kurung Kumey,801444,Koloriang,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,256,Kurung Kumey,265171,Palin,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,259,Lohit,801448,Namsai,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,259,Lohit,801447,Tezu,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,258,Lower Dibang Valley,801446,Roing,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,255,Lower Subansiri,265135,Raga,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,255,Lower Subansiri,801443,Ziro,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,248,Papum Pare,262507,Doimukh,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,248,Papum Pare,801428,Itanagar,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,248,Papum Pare,262748,Kimin,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,248,Papum Pare,801429,Naharlagun,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,248,Papum Pare,801430,Sagalee,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,245,Tawang,801424,Tawang,,,,,,,,,,,,,,,,,,,,
