Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
95,AKRG,,A K R G College of Engineering and Technology,C095,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,546,West Godavari,,Bangalore,,,,,,,,
,,,A. A. N. M. & V. V. R. S. R. Polytechnic,C459,,,,,,28,Andhra Pradesh,547,Krishna,,,,.,,,,,,
254,AARM,,Aar Mahaveer Engineering College,C254,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://www.aarm.ac.in/,,,,,,
,,,Aarupadai Veedu Institute Of Technology,C412,,Private University,,,,33,Tamil Nadu,603,Chennai,,,,https://avit.ac.in/,,,,,,
281,AKIT,,Abdul Kalam Institute of Technological Sciences,C281,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,541,Khammam,,,,https://akits.ac.in/,,,,,,
,,,ABR College of Engineering and Technology,C458,,,,,,28,Andhra Pradesh,549,Prakasam,,,,abrcet.ac.in,,,,,,
,,,AC Patil College of Engineering,C483,,Affiliated,,,,27,Maharashtra,517,Thane,,,,https://www.acpce.org/,,,,,,
86,ACEG,,ACE Engineering College,C086,,,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,,,,,,,
,,,Acharya Nagarjuna University ,C309,,University,University,,,28,Andhra Pradesh,548,Guntur,,,,www.nagarjunauniversity.ac.in,,,,,,
51,ACES,,Aditya College of Engineering,C051,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://www.acoe.edu.in/,,,,,,
37,ACET,,Aditya College of Engineering & Technology,C037,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://acet.ac.in/,,,,,,
