id,module_name,module_description,course_code,course_module_sequence,is_deleted,theory_practical,duration_hours,duration_minutes
1,Introduction to Generative AI,"This is an introductory level microlearning course aimed at explaining what Generative AI is, how it is used, and how it differs from traditional machine learning methods. It also covers Google Tools to help you develop your own Gen AI apps.",1,1,,T,0,45
2,"
Introduction to Large Language Models","This module explores what large language models (LLM) are, the use cases where they can be utilized, and how you can use prompt tuning to enhance LLM performance. It also covers Google tools to help you develop your own Gen AI apps.",1,2,,T,0,30
3,Introduction to Responsible AI,"This is an introductory-level microlearning course aimed at explaining what responsible AI is, why it's important, and how Google implements responsible AI in their products. It also introduces Google's 7 AI principles.",1,3,,T,0,30
4,"Prompt Design in Vertex AI","Complete the introductory Prompt Design in Vertex AI skill badge to demonstrate skills in the following: prompt engineering, image analysis, and multimodal generative techniques, within Vertex AI. Discover how to craft effective prompts, guide generative AI output, and apply Gemini models to real-world marketing scenarios.",1,4,,P,5,15
5,Responsible AI: Applying AI Principles with Google Cloud,"As the use of enterprise Artificial Intelligence and Machine Learning continues to grow, so too does the importance of building it responsibly. A challenge for many is that talking about responsible AI can be easier than putting it into practice. If you’re interested in learning how to operationalize responsible AI in your organization, this course is for you.",1,5,,T,1,30
6,"
Gemini for Application Developers","In this course, you learn how Gemini, a generative AI-powered collaborator from Google Cloud, helps developers build applications. You learn how to prompt Gemini to explain code, recommend Google Cloud services, and generate code for your applications. Using a hands-on lab, you experience how Gemini improves the application development workflow.

Duet AI was renamed to Gemini, our next-generation model.",2,1,,P,1,30
7,"
Gemini for Cloud Architects","In this course, you learn how Gemini, a generative AI-powered collaborator from Google Cloud, helps administrators provision infrastructure. You learn how to prompt Gemini to explain infrastructure, deploy GKE clusters and update existing infrastructure. Using a hands-on lab, you experience how Gemini improves the GKE deployment workflow.

Duet AI was renamed to Gemini, our next-generation model.",2,2,,P,1,0
8,Gemini for Data Scientists and Analysts,"In this course, you learn how Gemini, a generative AI-powered collaborator from Google Cloud, helps analyze customer data and predict product sales. You also learn how to identify, categorize, and develop new customers using customer data in BigQuery. Using hands-on labs, you experience how Gemini improves data analysis and machine learning workflows.

Duet AI was renamed to Gemini, our next-generation model.",2,3,,P,2,0
9,Gemini for Network Engineers,"In this course, you learn how Gemini, a generative AI-powered collaborator from Google Cloud, helps network engineers create, update, and maintain VPC networks. You learn how to prompt Gemini to provide specific guidance for your networking tasks, beyond what you would receive from a search engine. Using a hands-on lab, you experience how Gemini makes it easier for you to work with Google Cloud VPC networks.

Duet AI was renamed to Gemini, our next-generation model",2,4,,P,1,0
10,Gemini for Security Engineers,"In this course, you learn how Gemini, a generative AI-powered collaborator from Google Cloud, helps you secure your cloud environment and resources. You learn how to deploy example workloads into an environment in Google Cloud, identify security misconfigurations with Gemini, and remediate security misconfigurations with Gemini. Using a hands-on lab, you experience how Gemini improves your cloud security posture.

Duet AI was renamed to Gemini, our next-generation model.",2,5,,P,0,45
