ID,Name,Short Name,AICTE Code,EAMCET Code,L4G Code,L4G Group Code,Type,Address,Website,LatLong,District
1,A K R G College of Engineering and Technology,,,AKRG,C095,,Unknown,,,,West Godavari
2,A. A. N. M. & V. V. R. S. R. Polytechnic,,,,C459,,Unknown,,.,,Krishna
3,Aar Mahaveer Engineering College,,,AARM,C254,,Unknown,,https://www.aarm.ac.in/,,Hyderabad
4,Aarupadai Veedu Institute Of Technology,,,,C412,,Unknown,,https://avit.ac.in/,,Chennai
5,Abdul Kalam Institute of Technological Sciences,,,AKIT,C281,,Unknown,,https://akits.ac.in/,,Khammam
6,ABR College of Engineering and Technology,,,,C458,,Unknown,,abrcet.ac.in,,Prakasam
7,AC Patil College of Engineering,,,,C483,,Unknown,,https://www.acpce.org/,,Thane
8,ACE Engineering College,,,ACEG,C086,,Unknown,,,,Medchal
9,Acharya Nagarjuna University,,,,C309,,Unknown,,www.nagarjunauniversity.ac.in,,Guntur
10,Aditya College of Engineering,,,ACES,C051,,Unknown,,https://www.acoe.edu.in/,,East Godavari
11,Aditya College of Engineering & Technology,,,ACET,C037,,Unknown,,https://acet.ac.in/,,East Godavari
12,Aditya Global Business School,,,AGBS,C091,,Unknown,,https://aditya.ac.in/bschool/,,East Godavari
13,Aditya Institute of Technology and Management,,,ADIT,C017,,Unknown,,https://www.adityatekkali.edu.in/,,Srikakulam
14,Aditya University(Aditya Engineering College),,,ADTP,C052,,Unknown,,https://www.aec.edu.in/,,East Godavari
15,Aditya Women's Degree College,,,,C368,,Unknown,,,,East Godavari
16,Akula Sree Ramulu College of Engineering,,,ASEK,C223,,Unknown,,https://bedtnk.asrgroup.co.in/,,West Godavari
17,Alliance College of Engineering and Design,,,,C478,,Unknown,,,,Bangalore
18,Alva's Institute Of Engineering and Technology,,,,C398,,Unknown,,aiet.org.in,,Dakshina Kannada
19,Amalapuram Institute of Management Sceinces & College of Engineering,,,AIME,C076,,Unknown,,,,East Godavari
20,"Amity University, Hyderabad",,,,C311,,Unknown,,https://amityonlinemba.org.in/,,Hyderabad
21,"Amrita Vishwa Vidyapeetham, Coimbatore",,,,C413,,Unknown,,https://www.amrita.edu/,,Coimbatore
22,Amritha Sai Institute of Science and Technology  Paritala,,,ASIP,C226,,Unknown,,https://amritasai.org.in/,,Krishna
23,Anantha Lakshmi Institute of Technology and Sciences,,,ALTS,C239,,Unknown,,https://alits.ac.in/,,Anantapur
24,Andhra Loyola Institute of Engineering and Technology,,,ALIT,C096,,Unknown,,http://aliet.ac.in/,,Krishna
25,Andhra University,,,,C312,,Unknown,,https://www.andhrauniversity.edu.in/,,Visakhapatnam
26,Anil Neerukonda Institute of Technology & Science,,,ANIL,C097,,Unknown,,https://anits.edu.in/,,Visakhapatnam
27,Annabattuni Satyanarayana Degree College,,,,C462,,Unknown,,amritasai.org.in,,Krishna
28,Annai College Of Arts & Science,,,,C492,,Unknown,,https://www.annaicollege.com/,,Tiruchirappalli
29,"Annamacharya Institute of Technology and Sciences, Kadapa",,,AITK,C050,,Unknown,,https://aitskadapa.ac.in/,,Kadapa
30,"Annamacharya University (Annamacharya Institute of Technology and Sciences, Rajampet)",,,AITS,C058,,Unknown,,https://aitsrajampet.ac.in/,,Kadapa
31,"Annamacharya Institute of Technology and Sciences, Tirupati",,,AITT,C053,,Unknown,,https://aits-tpt.edu.in/,,Chittoor
32,"Annamacharya Institute of Technology and Sciences, Hyderabad",,,AITH,C366,,Unknown,,,,Hyderabad
33,Anubose Institute of Technology,,,BOSE,C282,,Unknown,,https://abit.ac.in/,,Khammam
34,Anurag College of Engineering,,,ANRH,C101,,Unknown,,www.anuraghyd.ac.in,,Medchal
35,ANURAG Engineering College,,,ANRK,C100,,Unknown,,https://anurag.ac.in/,,Nalgonda
36,Anurag University,,,CVSR,C098,,Unknown,,https://anurag.edu.in/,,Medchal
37,Arya College of Engineering & IT,,,,C427,,Unknown,,aryacollege.in,,Jaipur
38,Ashoka Institute of Engineering & Technology,,,ASOK,C102,,Unknown,,http://ashoka.ac.in/,,Rangareddy
39,Audisankara Institute of Technology,,,ASIT,C042,,Unknown,,https://www.audisankara.ac.in/,,Nellore
40,Audisankara College of Engineering & Technology,,,SANK,C039,,Unknown,,,,Goalpara
41,Audisankara College of Engineering for Women,,,ASCW,C103,,Unknown,,,,Nellore
